name,orcid
Qiaoyu Tan,0000-0001-8999-968X
Qiaozhu Mei,0000-0002-8640-1942
Qiben Yan,0000-0001-6272-7668
Qichen Wang 0001,0000-0002-0959-5536
Qifeng Chen,0000-0000-0000-0000
Qifeng Liao,0000-0000-0000-0000
Qigang Gao,0000-0000-0000-0000
Qihua Zhou,0000-0000-0000-0000
Qijun Gu,0000-0000-0000-0000
Qijun Zhao,0009-0007-4797-9155
Qilin Fan,0000-0000-0000-0000
Qilin Sun 0001,0000-0002-1906-9548
Qilong Feng,0000-0000-0000-0000
Qiming Hou,0009-0004-4177-4704
Qin Jin,0000-0001-6486-6020
Qin Lin,0000-0000-0000-0000
Qin Liu 0001,0000-0000-0000-0000
Qin Lv,0000-0002-9437-1376
Qin Zhang 0001,0000-0002-6851-3115
Qin Zhang 0011,0000-0000-0000-0000
Qinfeng (Javen) Shi,0000-0002-9126-2107
Qinfeng Shi,0000-0002-9126-2107
Qing Cao 0001,0000-0000-0000-0000
Qing Charles Cao,0000-0000-0000-0000
Qing Chen 0001,0000-0002-2612-5691
Qing Gu 0001,0000-0002-1112-790X
Qing Guan,0000-0000-0000-0000
Qing He 0003,0000-0001-8833-5398
Qing Hu,0000-0000-0000-0000
Qing Li 0001,0000-0003-3370-471X
Qing Liao 0001,0000-0003-1012-5301
Qing Ling 0001,0000-0000-0000-0000
Qing Qu 0001,0000-0001-9136-558X
Qing Wang 0001,0000-0002-2618-5694
Qing Wang 0002,0000-0001-9504-4273
Qing Wang 0007,0000-0003-0950-1111
Qing Wang 0031,0000-0002-3067-5522
Qing Yang 0003,0000-0002-0683-5848
Qing Yi,0000-0000-0000-0000
Qing'an Li,0000-0000-0000-0000
Qing-Hua Huang,0000-0000-0000-0000
Qing-Xian Wang 0001,0000-0000-0000-0000
Qingan Li,0000-0003-0110-5405
Qingbiao Li,0000-0000-0000-0000
Qingcai Chen,0000-0001-8473-7293
Qingchuan Zhao,0000-0003-0163-2846
Qingfeng Du,0000-0000-0000-0000
Qingfu Zhang 0001,0000-0003-0786-0671
Qinggang Meng,0000-0000-0000-0000
Qinghua Hu,0000-0001-7765-8095
Qinghua Huang,0000-0000-0000-0000
Qinghua Li,0000-0000-0000-0000
Qinghua Liu,0000-0003-4644-5518
Qinghua Zheng,0000-0002-8436-4754
Qingjiang Shi,0000-0000-0000-0000
Qingkai Meng,0000-0000-0000-0000
Qingkai Shi,0000-0002-8297-8998
Qingkai Zeng 0002,0000-0000-0000-0000
Qingling Duan,0000-0000-0000-0000
Qingming Huang,0000-0001-7542-296X
Qingxian Wang 0001,0000-0000-0000-0000
Qingyang Wang 0001,0000-0002-5729-2898
Qingyao Ai,0000-0002-5030-709X
Qingyun Wang 0005,0000-0000-0000-0000
Qinming He,0000-0001-5147-7253
Qinpei Zhao,0000-0000-0000-0000
Qinping Zhao,0000-0000-0000-0000
Qinru Qiu,0000-0000-0000-0000
Qinxiang Cao,0000-0002-5678-6538
Qiong Luo 0001,0000-0002-2861-9492
Qiong Zeng,0000-0002-2827-8261
Qiongkai Xu,0000-0003-3312-6825
Qipeng Liu 0001,0000-0002-3994-7061
Qirong Ho,0000-0000-0000-0000
Qirun Zhang,0000-0001-5367-9377
Qishi Wu,0000-0000-0000-0000
Qiu Shen,0000-0000-0000-0000
Qiuchi Li,0000-0000-0000-0000
Qiudan Zhang,0000-0001-6067-8188
Qiuhong Ke,0000-0001-9998-3614
Qiuming Luo,0000-0000-0000-0000
Qiuming Yao,0000-0000-0000-0000
Qiuming Zhu,0000-0000-0000-0000
Qiuwei Wu,0000-0000-0000-0000
Qiuyue Wang,0000-0000-0000-0000
Qiuzhen Lin,0000-0003-2415-0401
Qixin Wang,0000-0000-0000-0000
Qixing Huang,0000-0001-6365-8051
Qiyu Kang,0000-0000-0000-0000
Qizhe Cai,0000-0002-7136-1706
Qizhen Zhang 0001,0009-0009-4523-0735
Qizhi Liu,0009-0001-6060-8435
Qizhi Xu,0000-0000-0000-0000
Quaid D. Morris,0000-0000-0000-0000
Quaid Morris,0000-0002-2760-6999
Quan Chen 0002,0000-0001-5832-0347
Quan Li,0000-0003-2249-0728
Quan Z. Sheng,0000-0002-3326-4147
Quang Vinh Nguyen,0000-0000-0000-0000
Quanhui Liu,0000-0000-0000-0000
Quanling Deng,0000-0000-0000-0000
Quanquan C. Liu,0000-0003-1230-2754
Quanquan Gu,0000-0001-9830-793X
Quanshi Zhang,0000-0000-0000-0000
Quanxue Gao,0000-0001-5082-2940
Quanzheng Sheng,0000-0000-0000-0000
Quentin Cappart,0000-0000-0000-0000
Quentin F. Stout,0000-0002-8047-7348
Quentin Paris,0000-0000-0000-0000
Quinn O. Snell,0000-0000-0000-0000
Quinn Snell,0000-0000-0000-0000
Quintin I. Cutts,0000-0002-6368-9912
Qun Huang 0001,0000-0002-2387-6131
Qun Li 0001,0000-0003-2231-6615
Qun Song 0001,0000-0002-3611-9404
Qun Zhou,0000-0000-0000-0000
Quoc Tran-Dinh,0000-0000-0000-0000
Quoc Viet Hung Nguyen,0000-0002-9687-1315
Qusay H. Mahmoud,0000-0003-0472-5757
Qutaibah M. Malluhi,0000-0000-0000-0000
Qutaibah Marwan Malluhi,0000-0000-0000-0000
R. A. Bodnar,0000-0000-0000-0000
R. B. Mishra,0000-0000-0000-0000
R. B. Sandeep,0000-0003-4383-1819
R. B. V. Subramanyam,0000-0000-0000-0000
R. Benjamin Shapiro,0000-0002-1359-7120
R. Chandrasekaran,0000-0000-0000-0000
R. Clint Whaley,0000-0000-0000-0000
R. Clinton Whaley,0000-0000-0000-0000
R. E. Ellis,0000-0000-0000-0000
R. Govindarajan,0000-0003-2517-9994
R. Inkulu,0000-0000-0000-0000
R. Iris Bahar,0000-0001-6927-8527
R. James Cotton,0000-0000-0000-0000
R. Jayakumar,0000-0000-0000-0000
R. K. Bagga,0000-0000-0000-0000
R. Krithika 0001,0000-0000-0000-0000
R. M. Duwairi,0000-0000-0000-0000
R. Michael Young,0000-0000-0000-0000
R. Mukundan,0000-0000-0000-0000
R. Mukundan 0001,0000-0000-0000-0000
R. Padmavathy,0000-0000-0000-0000
R. Ramanujam,0000-0000-0000-0000
R. Rodrey Howell,0000-0000-0000-0000
R. Ryan Williams,0000-0003-2326-2233
R. S. Lazic,0000-0000-0000-0000
R. S. Meir,0000-0000-0000-0000
R. Sekar 0001,0009-0008-9135-3296
R. Sharathkumar,0000-0000-0000-0000
R. Stuart Geiger,0000-0001-7215-0532
R. V. Dantu,0000-0000-0000-0000
R. Venkatesh Babu,0000-0002-1926-1804
R. Venkatesha Prasad,0000-0001-7443-7641
R.C. Hansdah,0000-0000-0000-0000
Raanan Fattal,0000-0000-0000-0000
Raaz Dwivedi [Tech],0000-0000-0000-0000
Rabi N. Mahapatra,0000-0000-0000-0000
Rabie Ben Atitallah,0000-0000-0000-0000
Rachee Singh,0000-0002-8118-3026
Rachel Blagojevic,0000-0000-0000-0000
Rachel Cardell-Oliver,0000-0003-0590-1003
Rachel Cavill,0000-0000-0000-0000
Rachel Douglas-Jones,0000-0000-0000-0000
Rachel Greenstadt,0000-0000-0000-0000
Rachel Karchin,0000-0002-5069-1239
Rachel Kolodny,0000-0000-0000-0000
Rachel McDonnell,0000-0002-1957-2506
Rachel Menzies,0000-0002-3942-130X
Rachel Player,0000-0001-7292-4702
Rachel Pottinger,0000-0000-0000-0000
Rachel Rudinger,0000-0002-5506-4701
Rachel Schwartz,0000-0001-7414-9893
Rachelle Bosua,0000-0000-0000-0000
Rachelle S. Heller,0000-0000-0000-0000
Rachid Guerraoui,0000-0002-4794-8902
Rachid Hadjidj,0000-0000-0000-0000
Rachid Hamadi,0000-0000-0000-0000
Rachid Hourizi,0000-0000-0000-0000
Rachit Agarwal 0001,0000-0001-6731-9938
Rachit Nigam,0000-0003-0983-5867
Rada Chirkova,0000-0000-0000-0000
Rada Flavia Mihalcea,0000-0000-0000-0000
Rada Mihalcea,0000-0000-0000-0000
Rada Y. Chirkova,0000-0000-0000-0000
Rade Kutil,0000-0000-0000-0000
Radek Pelánek,0000-0001-8877-4729
Radford M. Neal,0000-0000-0000-0000
Radha Jagadeesan,0000-0000-0000-0000
Radha Venkatagiri,0000-0000-0000-0000
Radhakrishnan Venkatesh Babu,0000-0000-0000-0000
Radhika Mamidi,0000-0000-0000-0000
Radhika Mittal,0000-0003-4082-7865
Radhika Nagpal,0000-0001-9756-0167
Radim Bartos,0000-0000-0000-0000
Radim Sára,0000-0002-2032-5764
Radoslav Ivanov,0000-0003-4987-4836
Radouan Boukharfane,0000-0000-0000-0000
Radu C. Calinescu,0000-0000-0000-0000
Radu Calinescu,0000-0002-2678-9260
Radu Curticapean,0000-0001-7201-9905
Radu Dobrin,0000-0000-0000-0000
Radu Grigore,0000-0000-0000-0000
Radu Grosu,0000-0001-5715-2142
Radu Jianu,0000-0002-5834-2658
Radu Marculescu,0000-0003-1826-7646
Radu Mardare,0000-0000-0000-0000
Radu Nicolescu,0000-0000-0000-0000
Radu Prodan,0000-0002-8247-5426
Radu Sion,0000-0002-1237-8276
Radu Stoleru,0000-0003-3976-4502
Radu Teodorescu,0000-0002-6474-2201
Radu Timofte,0000-0002-1478-0402
Radwa El Shawi,0000-0000-0000-0000
Rae Harbird,0000-0000-0000-0000
Raef Bassily,0000-0000-0000-0000
Raf Vandebril,0000-0003-2119-8696
Rafael A. Cabredo,0000-0000-0000-0000
Rafael Bidarra,0000-0003-4281-6019
Rafael C. S. Schouery,0000-0000-0000-0000
Rafael Cabredo,0000-0000-0000-0000
Rafael Capilla,0000-0002-6943-1285
Rafael Crivellari Saliba Schouery,0000-0000-0000-0000
Rafael Dowsley,0000-0000-0000-0000
Rafael Dueire Lins,0000-0000-0000-0000
Rafael F. Schaefer,0000-0000-0000-0000
Rafael F. Wyrembelski,0000-0000-0000-0000
Rafael García Vázquez,0000-0000-0000-0000
Rafael H. Bordini,0000-0000-0000-0000
Rafael Heitor Bordini,0000-0000-0000-0000
Rafael Kuffner dos Anjos,0000-0002-2616-7541
Rafael M. Frongillo,0000-0002-0170-7572
Rafael Mendes de Oliveira,0000-0000-0000-0000
Rafael Pasquini,0000-0000-0000-0000
Rafael Pass,0000-0001-7440-5690
Rafael Perez,0000-0000-0000-0000
Rafael Prikladnicki,0000-0003-3351-4916
Rafael Santos Coelho,0000-0000-0000-0000
Rafael Valencia-García,0000-0000-0000-0000
Rafail M. Ostrovsky,0000-0000-0000-0000
Rafail Ostrovsky,0000-0002-1501-1330
Rafal A. Angryk,0000-0000-0000-0000
Rafal K. Mantiuk,0000-0003-2353-0349
Rafal Mantiuk,0000-0003-2353-0349
Rafat Damseh,0000-0000-0000-0000
Raffaele Pizzolante,0000-0000-0000-0000
Raffaele Sommese,0000-0003-3484-9259
Raffaella Bernardi,0000-0002-3423-1208
Raffaella Mirandola,0000-0000-0000-0000
Raffi Khatchadourian,0000-0002-7930-0182
Ragesh Jaiswal,0009-0002-4475-0922
Raghav Sampangi,0000-0000-0000-0000
Raghava Mutharaju,0000-0000-0000-0000
Raghavan Komondoor,0000-0000-0000-0000
Raghavendra Kanakagiri,0000-0002-5561-2421
Raghavendra Pradyumna Pothukuchi,0000-0003-0109-7417
Raghavendra Selvan,0000-0003-4302-0207
Raghu Machiraju,0000-0000-0000-0000
Raghu Meka,0009-0004-7676-2762
Raghu Reddy,0000-0000-0000-0000
Raghunath Tewari,0000-0000-0000-0000
Raghuvansh Saxena,0000-0000-0000-0000
Ragib Hasan,0000-0000-0000-0000
Ragunathan Raj Rajkumar,0000-0000-0000-0000
Ragunathan Rajkumar,0000-0000-0000-0000
Raheem A. Beyah,0000-0002-9188-3464
Raheem Beyah,0000-0002-9188-3464
Rahmatollah Beheshti,0000-0001-8912-3063
Rahul Banerjee,0000-0000-0000-0000
Rahul C. Basole,0000-0000-0000-0000
Rahul Chatterjee 0001,0000-0002-5112-3188
Rahul Dubey,0000-0000-0000-0000
Rahul G. Krishnan,0000-0000-0000-0000
Rahul Garg 0001,0000-0000-0000-0000
Rahul Gopinath,0000-0001-9953-0930
Rahul Jain 0001,0000-0002-3649-6576
Rahul Mangharam,0000-0002-3388-8283
Rahul Muthu,0000-0000-0000-0000
Rahul Narain,0000-0003-4905-6649
Rahul Purandare,0000-0001-8677-0601
Rahul Santhanam,0000-0000-0000-0000
Rahul Sarpeshkar,0000-0000-0000-0000
Rahul Savani,0000-0003-1262-7831
Rahul Shah 0001,0000-0000-0000-0000
Rahul Sharma 0003,0000-0000-0000-0000
Rahul Shome,0000-0002-1689-9220
Rahul Simha,0000-0000-0000-0000
Rahul Vaze,0000-0000-0000-0000
Raimund Dachselt,0000-0002-2176-876X
Raimund Seidel,0000-0000-0000-0000
Raimundas Matulevicius,0000-0000-0000-0000
Rainer Böhme,0000-0003-4518-6227
Rainer Dietmann,0000-0000-0000-0000
Rainer G. Spallek,0000-0000-0000-0000
Rainer Gemulla,0000-0003-2762-0050
Rainer Groh 0001,0000-0000-0000-0000
Rainer Knauf,0000-0000-0000-0000
Rainer Koschke,0000-0000-0000-0000
Rainer Lienhart,0000-0003-4007-6889
Rainer Malaka,0000-0001-6463-4828
Rainer Spang,0000-0002-1326-4297
Rainer Stiefelhagen,0000-0001-8046-4945
Raissa M. D'Souza,0000-0000-0000-0000
Raiyan Abdul Baten,0000-0002-9203-4528
Raj Acharya,0000-0000-0000-0000
Raj Bhatnagar,0000-0000-0000-0000
Raj Jain,0000-0000-0000-0000
Raj Korpan,0000-0000-0000-0000
Raj Rajkumar,0000-0000-0000-0000
Raj Reddy,0000-0000-0000-0000
Raj S. Acharya,0000-0000-0000-0000
Raj Sunderraman,0000-0000-0000-0000
Raja Appuswamy,0000-0001-5887-4091
Raja Giryes,0000-0002-2830-0297
Raja Loganantharaj,0000-0000-0000-0000
Raja Natarajan,0000-0000-0000-0000
Raja R. Sambasivan,0000-0001-7940-403X
Raja S 0001,0000-0000-0000-0000
Rajagopal Nagarajan,0000-0000-0000-0000
Rajagopalan Jayakumar,0000-0000-0000-0000
Rajalakshmi Nandakumar [Tech],0000-0000-0000-0000
Rajalida Lipikorn,0000-0000-0000-0000
Rajasekhar Anguluri,0000-0000-0000-0000
Rajasekhar Inkulu,0000-0000-0000-0000
Rajat Kumar De,0000-0000-0000-0000
Rajat Mittal 0001,0000-0000-0000-0000
Rajat Moona,0000-0000-0000-0000
Rajat Subhra Chakraborty,0000-0003-3588-163X
Rajdeep Chatterjee,0000-0000-0000-0000
Rajdeep Niyogi,0000-0000-0000-0000
Rajeev Alur,0000-0003-1733-7083
Rajeev Balasubramonian,0009-0009-4093-5904
Rajeev Barua,0000-0000-0000-0000
Rajeev J. Ram,0000-0000-0000-0000
Rajeev R. Raje,0000-0000-0000-0000
Rajeev Sangal,0000-0000-0000-0000
Rajen Dinesh Shah,0000-0000-0000-0000
Rajendra K. Raj,0000-0003-2378-1068
Rajendra Kumar 0002,0000-0000-0000-0000
Rajendra Mitharwal,0000-0000-0000-0000
Rajendra V. Boppana,0000-0000-0000-0000
Rajesh Balan,0000-0001-6289-9902
Rajesh Chitnis,0000-0002-6098-7770
Rajesh Gupta 0001,0000-0002-6489-7633
Rajesh Hemant Chitnis,0000-0002-6098-7770
Rajesh K. Gupta 0001,0000-0002-6489-7633
Rajesh Krishna Balan,0000-0001-6289-9902
Rajesh Kumar 0012,0000-0000-0000-0000
Rajesh Kumar Mundotiya,0000-0000-0000-0000
Rajesh P. N. Rao,0000-0003-0682-8952
Rajesh Ranganath,0000-0000-0000-0000
Rajesh Sharma 0002,0000-0000-0000-0000
Rajib Lochan Das,0000-0000-0000-0000
Rajib Mall,0000-0000-0000-0000
Rajit Manohar,0000-0001-8211-6602
Rajiv Bagai,0000-0000-0000-0000
Rajiv Gupta 0001,0000-0002-9348-3974
Rajiv K. Kalia,0000-0002-8835-5249
Rajiv Khanna,0000-0003-1314-3126
Rajiv Misra,0000-0002-4910-5749
Rajiv Raman 0001,0000-0000-0000-0000
Rajiv Ratn Shah,0000-0003-1028-9373
Rajkumar Buyya,0000-0000-0000-0000
Rajmohan Rajaraman,0000-0000-0000-0000
Rajsekar Manokaran,0000-0000-0000-0000
Rajshekar Kalayappan,0000-0001-8154-2984
Rajshekhar Sunderraman,0000-0000-0000-0000
Raju Bhukya,0000-0000-0000-0000
Raju Halder,0000-0002-8873-8258
Raju Rangaswami,0009-0000-5243-9451
Raju S. Bapi,0000-0003-2204-0890
Rakesh B. Bobba,0000-0002-5440-0785
Rakesh Bobba,0000-0002-5440-0785
Rakesh Kaundal,0000-0000-0000-0000
Rakesh Kumar 0002,0009-0008-1535-1889
Rakesh Kumar 0003,0000-0001-6306-304X
Rakesh M. Verma,0000-0002-7466-7823
Rakesh V. Vohra,0000-0000-0000-0000
Rakesh Venkat,0000-0000-0000-0000
Rakesh Vohra,0000-0003-1049-0827
Rakeshbabu Bobba,0000-0000-0000-0000
Rakibul Hasan 0001,0000-0001-8374-7596
Ralf Bierig,0000-0002-2939-140X
Ralf H. Reussner,0000-0002-9308-6290
Ralf Herbrich,0000-0000-0000-0000
Ralf Hinze,0000-0000-0000-0000
Ralf Hofestädt,0000-0000-0000-0000
Ralf Jung 0002,0000-0001-7669-6348
Ralf Küsters,0000-0002-9071-9312
Ralf L. M. Peeters,0000-0000-0000-0000
Ralf Lämmel,0000-0001-9946-4363
Ralf M. Haefner,0000-0000-0000-0000
Ralf Martin Zimmer,0000-0000-0000-0000
Ralf Möller 0001,0000-0002-1174-3323
Ralf Möller 0002,0000-0000-0000-0000
Ralf Peeters,0000-0000-0000-0000
Ralf Romeike,0000-0002-2941-4288
Ralf Schenkel,0000-0001-5379-5191
Ralf Schlüter,0000-0000-0000-0000
Ralf Zimmer,0000-0003-1439-2327
Ralph Bergmann,0000-0000-0000-0000
Ralph Deters,0000-0000-0000-0000
Ralph Etienne-Cummings,0000-0003-4445-973X
Ralph Ewerth,0000-0003-0918-6297
Ralph Grishman,0000-0000-0000-0000
Ralph Holz,0000-0001-9614-2377
Ralph Moseley,0000-0000-0000-0000
Ralph-Günther Holz,0000-0000-0000-0000
Raluca A. Popa,0000-0000-0000-0000
Raluca Ada Popa,0000-0001-8899-801X
Raluca Gordân,0000-0000-0000-0000
Ram Dantu,0000-0000-0000-0000
Ram Gopal Raj,0000-0000-0000-0000
Ram Krishnan,0000-0002-7402-553X
Ram Nevatia,0000-0000-0000-0000
Ram Sarkar,0000-0000-0000-0000
Ram Sundara Raman,0000-0002-2411-8463
Rama Chellappa,0000-0000-0000-0000
Rama Murthy Garimella,0000-0000-0000-0000
Ramakant Nevatia,0000-0000-0000-0000
Ramakanth Kavuluru,0000-0000-0000-0000
Ramakrishna Thurimella,0000-0000-0000-0000
Ramakrishna U.,0000-0000-0000-0000
Ramakrishna Upadrasta,0000-0002-5290-3266
Ramakrishnan Durairajan,0000-0003-2859-5598
Ramakrishnan Mukundan,0000-0000-0000-0000
Ramalingam Chellappa,0000-0000-0000-0000
Ramalingam Sridhar,0000-0000-0000-0000
Ramalingaswamy Cheruku,0000-0000-0000-0000
Ramamohan Paturi,0000-0000-0000-0000
Raman Arora,0000-0003-2002-3923
Raman Balasubramanian,0000-0000-0000-0000
Raman Ramsin,0000-0000-0000-0000
Ramana Rao Kompella,0000-0002-7559-8997
Ramana Vinjamuri,0000-0000-0000-0000
Ramani Duraiswami,0000-0002-5596-8460
Ramanujan Sridharan,0000-0000-0000-0000
Ramaswamy Chandrasekaran,0000-0000-0000-0000
Ramaswamy Govindarajan,0000-0000-0000-0000
Ramaswamy Palaniappan,0000-0000-0000-0000
Ramaswamy Ramanujam,0000-0000-0000-0000
Ramazan Aygun,0000-0000-0000-0000
Ramazan Gokberk Cinbis,0000-0003-0962-7101
Ramazan Gökberk Cinbis,0000-0000-0000-0000
Rambabu Kalla,0000-0000-0000-0000
Ramchandra Phawade,0000-0000-0000-0000
Ramesh C. Jain,0000-0000-0000-0000
Ramesh Govindan,0000-0001-8311-8853
Ramesh Hariharan,0000-0000-0000-0000
Ramesh Jain,0000-0000-0000-0000
Ramesh K. Karne,0000-0000-0000-0000
Ramesh K. Rayudu,0000-0000-0000-0000
Ramesh K. Sitaraman,0000-0003-0558-6875
Ramesh Karri,0000-0001-7989-5617
Ramesh Kolluru,0000-0000-0000-0000
Ramesh Krishnamurti,0000-0000-0000-0000
Ramesh Kumar Rayudu,0000-0000-0000-0000
Ramesh Kumar Thakur,0000-0000-0000-0000
Ramesh Loganathan,0000-0000-0000-0000
Ramesh Raskar,0000-0002-3254-3224
Ramesh Rayudu,0000-0000-0000-0000
Ramgopal Mettu,0000-0001-9479-9156
Ramgopal R. Mettu,0000-0001-9479-9156
Rami Bahsoon,0000-0000-0000-0000
Rami G. Melhem,0000-0001-6403-5446
Rami Puzis,0000-0000-0000-0000
Ramin Ayanzadeh,0000-0001-6687-5668
Ramin Yahyapour,0000-0002-9057-4395
Ramin Zabih [Tech],0000-0000-0000-0000
Ramiro Liscano,0000-0000-0000-0000
Ramki Thurimella,0000-0000-0000-0000
Ramnatthan Alagappan,0000-0001-9911-4208
Ramon Antonio Rodriges Zalipynis,0000-0002-3627-6688
Ramon Canal,0000-0000-0000-0000
Ramon Fraga Pereira,0000-0000-0000-0000
Ramon Morros,0000-0000-0000-0000
Ramprasad Joshi,0000-0000-0000-0000
Ramprasad S. Joshi,0000-0000-0000-0000
Ramprasad Saptharishi,0000-0002-7485-3220
Ramtin Zand,0000-0002-1786-1152
Ramviyas Parasuraman,0000-0001-5451-8209
Ramya Korlakai Vinayak,0000-0003-0248-9551
Ramyaa,0000-0000-0000-0000
Ramyaa Ramyaa,0000-0000-0000-0000
Ramzi A. Haraty,0000-0000-0000-0000
Ramzi Ahmed Haraty,0000-0000-0000-0000
Ran Ben Basat,0000-0003-0196-9190
Ran Ben-Basat,0000-0003-0196-9190
Ran Canetti,0000-0002-5479-7540
Ran Cheng,0000-0000-0000-0000
Ran Duan,0000-0001-9948-6714
Ran Dubin,0000-0000-0000-0000
Ran El-Yaniv,0000-0000-0000-0000
Ran Gilad-Bachrach,0000-0002-4001-8307
Ran He 0001,0000-0002-3807-991X
Ran Raz,0009-0008-1656-2258
Ran Yi,0000-0000-0000-0000
Ran Zhang,0000-0002-7630-1251
Rana Hanocka,0000-0003-3214-3703
Rana Yousef,0000-0000-0000-0000
Ranald Alexander Clouston,0000-0000-0000-0000
Ranald Clouston,0000-0000-0000-0000
Randal C. Burns,0000-0002-2924-1997
Randal C. Nelson,0000-0000-0000-0000
Randal E. Bryant,0000-0001-5024-6613
Randall Balestriero,0000-0000-0000-0000
Randall Bramley,0000-0000-0000-0000
Randall D. Beer,0000-0000-0000-0000
Randall Davis,0000-0000-0000-0000
Randi Karlsen,0000-0000-0000-0000
Randy Avent,0000-0000-0000-0000
Randy E. Ellis,0000-0000-0000-0000
Randy Goebel,0000-0000-0000-0000
Randy H. Katz,0000-0000-0000-0000
Randy Howard Katz,0000-0000-0000-0000
Randy K. Smith,0000-0000-0000-0000
Randy Klaassen,0000-0000-0000-0000
Ranendu Ghosh,0000-0000-0000-0000
Ranga Rao Venkatesha Prasad,0000-0000-0000-0000
Rangachar Kasturi,0000-0000-0000-0000
Rangarao Venkatesha Prasad,0000-0000-0000-0000
Ranggi Hwang,0000-0003-2343-586X
Ranita Biswas,0000-0000-0000-0000
Ranjay A. Krishna,0000-0000-0000-0000
Ranjay Krishna,0000-0001-8784-2531
Ranjit Jhala,0000-0002-1802-9421
Ranjitha Kumar,0009-0001-2107-1647
Ranko Lazic,0000-0000-0000-0000
Ranko Lazic 0001,0000-0000-0000-0000
Ranko S. Lazic,0000-0000-0000-0000
Rann Smorodinsky,0000-0001-7447-5605
Ransalu Senanayake,0000-0000-0000-0000
Rao Muhammad Anwer,0000-0002-9041-2214
Rao Sreenivasa Krothapalli,0000-0000-0000-0000
Raouf Boutaba,0000-0001-7936-6862
Raphael A. Finkel,0000-0000-0000-0000
Raphael Wimmer,0000-0001-5162-5113
Raphaël Clifford,0000-0003-0599-0915
Raphaël Pestourie,0000-0000-0000-0000
Raphaël Troncy,0000-0003-0457-1436
Raquel Benbunan-Fich,0000-0000-0000-0000
Raquel C. de Melo,0000-0000-0000-0000
Raquel Cardoso de Melo Minardi,0000-0001-5190-100X
Raquel Fernández,0000-0000-0000-0000
Raquel Hill,0000-0000-0000-0000
Raquel O. Prates,0000-0000-0000-0000
Raquel Oliveira Prates,0000-0000-0000-0000
Raquel Urtasun,0000-0000-0000-0000
Rares Bodnar,0000-0000-0000-0000
Ras Bodík,0000-0000-0000-0000
Rasha Mohammad Obeidat,0000-0000-0000-0000
Rasha Obeidat,0000-0000-0000-0000
Rashid Rashid,0000-0000-0000-0000
Rashina Hoda,0000-0001-5147-8096
Rashmi Dutta Baruah,0000-0000-0000-0000
Rashmi Jha,0000-0002-2656-5945
Rashmi Ranjan Rout,0000-0000-0000-0000
Rashmi Vinayak,0000-0002-2227-7460
Rasiah Loganantharaj,0000-0000-0000-0000
Rasit Eskicioglu,0000-0000-0000-0000
Rasmus Ejlers Møgelberg,0000-0003-0386-4376
Rasmus Ibsen-Jensen,0000-0003-4783-0389
Rasmus Kyng,0000-0002-8268-6258
Rasmus Pagh,0000-0002-1516-9306
Rasmus R. Paulsen,0000-0003-0647-3215
Rasmus Reinhold Paulsen,0000-0000-0000-0000
Rasool Jalili,0000-0000-0000-0000
Rassul Saeedipour,0000-0000-0000-0000
Rastislav Bodík,0000-0001-6639-1647
Ratan Guha,0000-0000-0000-0000
Ratan K. Ghosh,0000-0000-0000-0000
Ratan K. Guha,0000-0000-0000-0000
Rathish Das,0000-0002-2416-6422
Ratikanta Behera,0000-0000-0000-0000
Rattikorn Hewett,0000-0000-0000-0000
Ratul Mahajan,0009-0005-8005-6948
Raul Astudillo,0000-0000-0000-0000
Raul Castro Fernandez,0000-0001-7675-6080
Raul Fervari,0000-0000-0000-0000
Raul Vicente,0000-0000-0000-0000
Raula Gaikovina Kula,0000-0003-2324-0608
Raunak Manekar,0000-0000-0000-0000
Raunak P. Bhattacharyya,0000-0000-0000-0000
Ravi Anand,0000-0000-0000-0000
Ravi Arun Netravali,0000-0000-0000-0000
Ravi Chugh,0000-0002-1339-2889
Ravi Janardan,0000-0000-0000-0000
Ravi K. Iyer,0000-0000-0000-0000
Ravi Karkar,0000-0003-1467-4439
Ravi Kiran Sarvadevabhatla,0000-0003-4134-1154
Ravi Kuber,0000-0003-1095-3772
Ravi Mangal,0000-0000-0000-0000
Ravi Mukkamala,0000-0000-0000-0000
Ravi Netravali,0000-0001-7002-5033
Ravi Prakash 0001,0000-0002-8430-7813
Ravi Ramamoorthi,0000-0003-3993-5789
Ravi S. Sandhu,0000-0000-0000-0000
Ravi Sandhu,0000-0000-0000-0000
Ravi Sethi,0000-0000-0000-0000
Ravi Shankar,0009-0006-1778-873X
Ravi Sundaram,0000-0000-0000-0000
Ravichandra Sadam,0000-0000-0000-0000
Ravin Balakrishnan,0000-0002-3379-7680
Ravinder M.,0000-0000-0000-0000
Ravinderpal Singh Sandhu,0000-0000-0000-0000
Ravindra B. Keskar,0000-0000-0000-0000
Ravishankar K. Iyer,0000-0003-2245-3038
Ravishankar Krishnan Iyer,0000-0000-0000-0000
Raviv Raich,0000-0000-0000-0000
Rawan Alghofaili,0000-0001-6510-4562
Ray-I Chang,0000-0000-0000-0000
Rayford B. Vaughn,0000-0000-0000-0000
Rayford B. Vaughn Jr.,0000-0000-0000-0000
Rayid Ghani,0000-0003-0235-1843
Raymond A. Yeh,0000-0003-4375-0680
Raymond Bisdorff,0000-0000-0000-0000
Raymond Chi-Wing Wong,0000-0001-7045-6503
Raymond D. Gumb,0000-0000-0000-0000
Raymond Hu,0000-0003-4361-6772
